Proj_Date,BOM_Quant
2023-10-02,29.0
2023-10-17,0.0
2023-11-01,84.0
2023-11-16,0.0
2023-12-01,0.0
2023-12-16,0.0
2023-12-31,0.0
2024-01-15,6.0
2024-01-30,0.0
2024-02-14,0.0
2024-02-29,4.0
2024-03-15,0.0
2024-03-30,915.0
2024-04-14,2800.0
2024-04-29,879.0
2024-05-14,22.0
2024-05-29,0.0
2024-06-13,1.0
2024-06-28,0.0
2024-07-13,122.0
2024-07-28,1.0
2024-08-12,0.0
2024-08-27,1.0
2024-09-11,30.0
2024-09-26,0.0
2024-10-11,1017.0
2024-10-26,1137.0
2024-11-10,1806.0
2024-11-25,287.0
2024-12-10,1.0
2024-12-25,84.0
2025-01-09,0.0
2025-01-24,0.0
2025-02-08,31.0
2025-02-23,15003.0
2025-03-10,5.0
2025-03-25,1266.0
2025-04-09,156.0
2025-04-24,600.0
